##buzzard v2.0 truth table, galaxies within Mi<=-19.5 selected
##atention: the mi is the lsst i-band
##z,mi
0.087, 18.973
0.113, 19.400
0.138, 19.854
0.163, 20.280
0.188, 20.643
0.213, 21.041
0.238, 21.242
0.263, 21.546
0.288, 21.730
0.313, 21.979
0.338, 22.245
0.363, 22.392
0.388, 22.565
0.413, 22.754
0.438, 22.923
0.463, 23.081
0.488, 23.236
0.513, 23.369
0.538, 23.556
0.563, 23.647
0.588, 23.797
0.613, 23.930
0.638, 24.072
0.663, 24.229
0.688, 24.278
0.713, 24.400
0.738, 24.510
0.763, 24.700
0.788, 24.841
0.813, 24.901
0.838, 25.034
0.863, 25.099
0.888, 25.202
0.913, 25.296
0.938, 25.513
0.963, 25.559
0.988, 25.684
1.013, 25.857
1.038, 25.960
