##buzzard v2.0 truth table, galaxies within Mi<=-19.5 selected
##atention: the mi is the lsst i-band
##z,mi
0.087, 18.515
0.113, 18.834
0.138, 19.406
0.163, 19.763
0.188, 20.143
0.213, 20.455
0.238, 20.719
0.263, 21.028
0.288, 21.225
0.313, 21.485
0.338, 21.644
0.363, 21.863
0.388, 22.050
0.413, 22.221
0.438, 22.430
0.463, 22.555
0.488, 22.716
0.513, 22.869
0.538, 22.957
0.563, 23.080
0.588, 23.276
0.613, 23.375
0.638, 23.497
0.663, 23.636
0.688, 23.722
0.713, 23.909
0.738, 23.964
0.763, 24.082
0.788, 24.185
0.813, 24.295
0.838, 24.402
0.863, 24.566
0.888, 24.679
0.913, 24.778
0.938, 24.889
0.963, 25.020
0.988, 25.082
1.013, 25.231
1.038, 25.332
